Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,Roster Position,
126408-157843,SF/SG,Ziaire,Ziaire Williams,Williams,17.66857213,35,4000,BKN@ORL,BKN,ORL,,,,,,SG/SF
126408-23798,SG/SF,Caris,Caris LeVert,LeVert,17.56562424,32,3800,WAS@DET,DET,WAS,,,,,,SG/SF
126408-9874,PF,Kevin,Kevin Love,Love,17.5444449,27,3700,UTA@ATL,UTA,ATL,Q,Illness,,,,PF
126408-203716,SF/PF,Tristan,Tristan da Silva,da Silva,17.16818237,44,3800,BKN@ORL,ORL,BKN,,,,,,SF/PF
126408-203812,PG/SG,Daniss,Daniss Jenkins,Jenkins,16.97804819,41,4900,WAS@DET,DET,WAS,,,,,,PG/SG
126408-145341,SF,Isaac,Isaac Okoro,Okoro,16.82092995,43,4000,CHI@TOR,CHI,TOR,,,,,,SF
126408-213259,PF,Tolu,Tolu Smith,Smith,16.51999969,5,3600,WAS@DET,DET,WAS,O,Calf,,,,PF
126408-102025,SF,Haywood,Haywood Highsmith,Highsmith,16.43999939,80,3500,BKN@ORL,BKN,ORL,,,,,,SF
126408-55055,PG,Dante,Dante Exum,Exum,16.027273,22,3500,WAS@DET,WAS,DET,O,Knee,,,,PG
126408-188406,SF,Cam,Cam Whitmore,Whitmore,16.0047622,21,3500,WAS@DET,WAS,DET,O,Shoulder,,,,SF
126408-112709,SF,Javonte,Javonte Green,Green,15.86734694,49,3700,WAS@DET,DET,WAS,,,,,,SF
126408-157819,SF,Corey,Corey Kispert,Kispert,15.64516129,31,4000,UTA@ATL,ATL,UTA,,,,,,SF
126408-84713,SG/SF,Svi,Svi Mykhailiuk,Mykhailiuk,15.57209246,43,3700,UTA@ATL,UTA,ATL,,,,,,SG/SF
126408-145329,C,Paul,Paul Reed,Reed,15.54117719,34,4300,WAS@DET,DET,WAS,,,,,,C
126408-228722,PG,Ryan,Ryan Nembhard,Nembhard,15.41891892,37,3700,SA@DAL,DAL,SA,,,,,,PG
126408-171753,SG/SF,Tyrese,Tyrese Martin,Martin,14.74864898,37,3700,BKN@ORL,BKN,ORL,,,,,,SG/SF
126408-171780,SG/PG,Jaden,Jaden Ivey,Ivey,14.55757557,33,4200,CHI@TOR,CHI,TOR,P,Not injury related,,,,PG/SG
126408-188454,PF/C,Mouhamed,Mouhamed Gueye,Gueye,14.52800049,50,5100,UTA@ATL,ATL,UTA,,,,,,PF/C
126408-228148,SF/SG,Sion,Sion James,James,14.47647035,51,3600,CHA@HOU,CHA,HOU,,,,,,SG/SF
126408-203766,PF,Tidjane,Tidjane Salaun,Salaun,13.93548387,31,3700,CHA@HOU,CHA,HOU,Q,Illness,,,,PF
126408-145308,PF/SF,Patrick,Patrick Williams,Williams,13.91276648,47,4200,CHI@TOR,CHI,TOR,,,,,,SF/PF
126408-157831,SG/PG,Tre,Tre Mann,Mann,13.88666687,30,3700,CHA@HOU,CHA,HOU,,,,,,PG/SG
126408-110318,PF,Grant,Grant Williams,Williams,13.75,10,3800,CHA@HOU,CHA,HOU,,,,,,PF
126408-203801,PG,KJ,KJ Simpson,Simpson,13.7357145,14,3500,CHA@HOU,CHA,HOU,O,Hip,,,,PG
126408-188475,C,Oscar,Oscar Tshiebwe,Tshiebwe,13.69999981,1,3500,UTA@ATL,UTA,ATL,,,,,,C
126408-228164,SF,Noah,Noah Penda,Penda,13.60882389,34,3800,BKN@ORL,ORL,BKN,,,,,,SF
126408-55059,C,Clint,Clint Capela,Capela,13.58837181,43,4000,CHA@HOU,HOU,CHA,,,,,,C
126408-233063,C,Moussa,Moussa Cisse,Cisse,13.21724096,29,3700,SA@DAL,DAL,SA,,,,,,C
126408-84689,SG/SF,Josh,Josh Okogie,Okogie,13.21632603,49,3900,CHA@HOU,HOU,CHA,,,,,,SG/SF
126408-189468,C,Colin,Colin Castleton,Castleton,13.16923053,26,3500,BKN@ORL,ORL,BKN,O,Thumb,,,,C
126408-188451,C,Tristan,Tristan Vukcevic,Vukcevic,12.99000041,30,3800,WAS@DET,WAS,DET,,,,,,C
126408-228110,PG,Nolan,Nolan Traore,Traore,12.92962986,27,3900,BKN@ORL,BKN,ORL,,,,,,PG
126408-111376,SF,John,John Konchar,Konchar,12.7799998,30,3500,UTA@ATL,UTA,ATL,O,Neck,,,,SF
126408-9575,PG,Mike,Mike Conley,Conley,12.76363581,44,3500,CHA@HOU,CHA,HOU,,,,,,PG
126408-203727,SG,Ja'Kobe,Ja'Kobe Walter,Walter,12.45714315,42,3700,CHI@TOR,TOR,CHI,,,,,,SG
126408-203725,SF,Cody,Cody Williams,Williams,12.12432449,37,3800,UTA@ATL,UTA,ATL,,,,,,SF
126408-66109,C,Skal,Skal Labissiere,Labissiere,12.09999975,3,4000,WAS@DET,WAS,DET,,,,,,C
126408-171775,C,Christian,Christian Koloko,Koloko,12.00999985,20,3700,UTA@ATL,ATL,UTA,,,,,,C
126408-228163,SG,Jamir,Jamir Watkins,Watkins,11.99565191,23,3700,WAS@DET,WAS,DET,,,,,,SG
126408-188434,SF,Gradey,Gradey Dick,Dick,11.87884639,52,3700,CHI@TOR,TOR,CHI,,,,,,SF
126408-188427,PG,Marcus,Marcus Sasser,Sasser,11.86428615,14,3700,WAS@DET,DET,WAS,,,,,,PG
126408-228117,SF,Will,Will Riley,Riley,11.7048779,41,4000,WAS@DET,WAS,DET,,,,,,SF
126408-84714,C/PF,Moritz,Moritz Wagner,Wagner,11.54444461,9,3700,BKN@ORL,ORL,BKN,,,,,,PF/C
126408-228108,PG,Ben,Ben Saraf,Saraf,11.49444411,18,3700,BKN@ORL,BKN,ORL,,,,,,PG
126408-228107,SG/SF,Drake,Drake Powell,Powell,11.39473684,38,3800,BKN@ORL,BKN,ORL,,,,,,SG/SF
126408-16196,C,Dwight,Dwight Powell,Powell,11.34722222,36,3800,SA@DAL,DAL,SA,,,,,,C
126408-203790,C,PJ,PJ Hall,Hall,10.72666626,15,3500,CHA@HOU,CHA,HOU,,,,,,C
126408-113267,SF,Caleb,Caleb Martin,Martin,10.6302327,43,4400,SA@DAL,DAL,SA,,,,,,SF
126408-228116,PF,Asa,Asa Newell,Newell,10.06857125,35,3600,UTA@ATL,ATL,UTA,,,,,,PF
126408-171791,SG,Jaden,Jaden Hardy,Hardy,9.967646879,34,3700,WAS@DET,WAS,DET,D,Not injury related,,,,SG
126408-171749,PF,Jeremy,Jeremy Sochan,Sochan,9.911111337,27,3500,SA@DAL,SA,DAL,O,Quadriceps,,,,PF
126408-58081,PG,Tyus,Tyus Jones,Jones,9.90833346,48,3600,CHA@HOU,CHA,HOU,D,Not injury related,,,,PG
126408-213226,PG,RayJ,RayJ Dennis,Dennis,9.706667074,15,3500,UTA@ATL,ATL,UTA,,,,,,PG
126408-179828,PG,Keaton,Keaton Wallace,Wallace,9.630000305,40,3500,UTA@ATL,ATL,UTA,,,,,,PG
126408-84719,PG,Aaron,Aaron Holiday,Holiday,9.420587876,34,3600,CHA@HOU,HOU,CHA,,,,,,PG
126408-145325,SG/SF,Josh,Josh Green,Green,9.244444671,27,3600,CHA@HOU,CHA,HOU,,,,,,SG/SF
126408-80811,PF,Jonathan,Jonathan Isaac,Isaac,9.173170881,41,3600,BKN@ORL,ORL,BKN,,,,,,PF
126408-188442,SF,Jalen,Jalen Wilson,Wilson,8.918181448,33,3600,BKN@ORL,BKN,ORL,,,,,,SF
126408-228128,SG,Jase,Jase Richardson,Richardson,8.917143032,35,3500,BKN@ORL,ORL,BKN,,,,,,SG
126408-160022,SG,A.J.,A.J. Lawson,Lawson,8.809091048,11,3500,CHI@TOR,TOR,CHI,,,,,,SG
126408-171748,SG,Malaki,Malaki Branham,Branham,8.54642868,28,3600,SA@DAL,DAL,SA,O,Not injury related,,,,SG
126408-22541,C,Kelly,Kelly Olynyk,Olynyk,8.539285932,28,3500,SA@DAL,SA,DAL,Q,Foot,,,,C
126408-228134,SF,Liam,Liam McNeeley,McNeeley,8.339285714,28,3500,CHA@HOU,CHA,HOU,,,,,,SF
126408-188407,SF,Jett,Jett Howard,Howard,8.279999797,30,3500,BKN@ORL,ORL,BKN,,,,,,SF
126408-204374,SF,David,David Jones Garcia,Jones Garcia,8.236363498,11,3500,SA@DAL,SA,DAL,O,Ankle,,,,SF
126408-16376,PF,Dorian,Dorian Finney-Smith,Finney-Smith,7.917647418,17,3600,CHA@HOU,HOU,CHA,,,,,,PF
126408-171795,PF,Ousmane,Ousmane Dieng,Dieng,7.829629404,27,3600,CHI@TOR,CHI,TOR,Q,Not injury related,,,,PF
126408-171778,SF,Wendell,Wendell Moore,Moore,7.766666412,3,3500,WAS@DET,DET,WAS,,,,,,SF
126408-228155,SG,Alijah,Alijah Martin,Martin,7.740000153,10,3500,CHI@TOR,TOR,CHI,,,,,,SG
126408-15590,C,Mason,Mason Plumlee,Plumlee,7.642857143,14,3500,CHA@HOU,CHA,HOU,O,Groin,,,,C
126408-15993,SG,Pat,Pat Connaughton,Connaughton,6.136363636,22,3500,CHA@HOU,CHA,HOU,,,,,,SG
126408-228145,SG,Chaz,Chaz Lanier,Lanier,5.911111196,18,3500,WAS@DET,DET,WAS,,,,,,SG
126408-228176,PG,Miles,Miles Kelly,Kelly,5.900000139,11,3500,SA@DAL,DAL,SA,,,,,,PG
126408-228125,SF,Carter,Carter Bryant,Bryant,5.892307771,39,3600,SA@DAL,SA,DAL,,,,,,SF
126408-228183,C,Lachlan,Lachlan Olbrich,Olbrich,5.835714068,14,3800,CHI@TOR,CHI,TOR,,,,,,C
126408-194767,C,Duop,Duop Reath,Reath,5.831250191,32,3500,UTA@ATL,ATL,UTA,O,Foot,,,,C
126408-145576,SF,Jae'Sean,Jae'Sean Tate,Tate,5.82903216,31,3600,CHA@HOU,HOU,CHA,O,Wrist,,,,SF
126408-213508,SG,Elijah,Elijah Harkless,Harkless,5.814285823,7,3500,UTA@ATL,UTA,ATL,O,Hamstring,,,,SG
